Accession	GeneName	Description	PG.Qvalue	S0.1	S0.2	S0.3	S3.1	S3.2	S3.3	S6.1	S6.2	S6.3	S9.1	S9.2	S9.3	S12.1	S12.2	S12.3	S24.1	S24.2	S24.3
A0A024RBG1	NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	7.66E-29	5011781.5	4675587	8516652	5643444.5	3871656	5639223	5948479.5	5361228	4614980.5	6181644	3312533	7422569.5	4350234.5	3293309.5	5224057	4303630.5	3800812.25	5400364
A0A075B759;A0A075B767;A0A0B4J2A2;F5H284;P0DN26;Q9Y536	PPIAL4E;PPIAL4H;PPIAL4C;PPIAL4D;PPIAL4F;PPIAL4A	Peptidyl-prolyl cis-trans isomerase A-like 4E;Peptidyl-prolyl cis-trans isomerase A-like 4H;Peptidyl-prolyl cis-trans isomerase A-like 4C;Peptidyl-prolyl cis-trans isomerase A-like 4D;Peptidyl-prolyl cis-trans isomerase A-like 4F;Peptidyl-prolyl cis-trans isomerase A-like 4A	0.000361458	9578942	NaN	NaN	10299601	12061366	NaN	NaN	NaN	NaN	7368038.5	9088343	8701178	11773905	NaN	11146504	9713720	10414417	11704770
A0A087WUL8;B4DH59;P0DPF2;P0DPF3;Q5TAG4;Q5TI25;Q6P3W6	NBPF19;NBPF26;NBPF20;NBPF9;NBPF12;NBPF14;NBPF10	Neuroblastoma breakpoint family member 19;Neuroblastoma breakpoint family member 26;Neuroblastoma breakpoint family member 20;Neuroblastoma breakpoint family member 9;Neuroblastoma breakpoint family member 12;Neuroblastoma breakpoint family member 14;Neuroblastoma breakpoint family member 10	9.00E-30	3325319.5	4246298.5	2456784.5	2270087	2061562.75	3377289	3124964.75	2720027.75	1730891	1830012.75	3188687.25	3581065.75	2719818	2380365.75	2660848.5	3061119.75	1677903.375	2331455
A0A0B4J2D5;P0DPI2	GATD3B;GATD3	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial;Glutamine amidotransferase-like class 1 domain-containing protein 3, mitochondrial	1.61E-34	4060690	3537344	4557571.5	3927541.75	3929746	3750064.25	4512732	4024685.25	3931837.25	4232167	3824792.25	3544741.75	3751970.5	3526269.5	3910124.5	4354853.5	4927349.5	3989919.25
A0A0U1RRE5	NBDY	Negative regulator of P-body association	2.17E-41	2458742.5	2114588.5	1725209.5	1952631.875	1732562.625	2735885	2217152	1760524.25	2526556	2736880.75	1733691.375	2116485	2602449	2322945.5	2215352	2145753.25	2110711.25	1233769.375
A0A0U1RRL7	MMP24OS	Protein MMP24OS	7.93E-32	NaN	NaN	1275407	212849.1875	298249.3438	334316.3438	829305.4375	346460.1563	431450.5938	308097.9688	NaN	395066.6563	211422.6406	103011.7422	231472.625	225196.5313	250902.875	NaN
A0A1B0GVQ3	CCDC200	Coiled-coil domain-containing protein 200	0.000101488	4059781.5	4205778.5	3657210.75	4710117.5	5311508	4449749.5	4076057	7656324	6360796.5	5558816.5	6804216	7379622	6028417	5345222.5	NaN	5973621	6055394	5219662
A0A1W2PRP0	FOXL3	Forkhead box protein L3	3.31E-05	302642.2813	363040.4688	101075.7266	382519.7188	220909.2188	359288.2188	NaN	122348.4766	134082.5469	237355.4375	286380.9063	401485.2188	191128.4844	149906.3281	403374.3125	123366.4141	523466.7813	528891.25
A0A2R8Y4L2	HNRNPA1L3	Heterogeneous nuclear ribonucleoprotein A1-like 3	0.000865807	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1757168.75	NaN	NaN	NaN	1393479.875	1557969.375	NaN	NaN	2544087.75	NaN	NaN
A0A2Z4LIS9	FOXO3B	Forkhead box protein O3B	8.96E-10	942807.75	1427913.625	968628.9375	2002830.625	NaN	NaN	NaN	1575649.75	1842938.5	NaN	2091051.25	2602897	1887345	NaN	NaN	NaN	NaN	NaN
A0A3B3IRV3	MCTS2	Malignant T-cell-amplified sequence 2	1.16E-10	280023.0938	NaN	177933.3281	54878.59375	431947.25	264927.2188	328179.9375	NaN	437919.4375	234478.8438	538509.5	NaN	NaN	385934.375	19313.85742	165879.0938	350633.375	264661.125
A0A3B3IS91	POLGARF	POLG alternative reading frame	1.55E-12	NaN	NaN	NaN	NaN	NaN	NaN	1433292	NaN	1159525.125	1902215.125	1327485	NaN	NaN	NaN	1895645.125	NaN	NaN	1514830.75
A0A6I8PU40	TUG1	Taurine up-regulated 1 protein	3.86E-26	NaN	2.514549732	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	0.063789964
