"UNIPROT","GO","GONAME","ONTOLOGY"
"A0A087X1C5","GO:0005506","iron ion binding","MF"
"A0A087X1C5","GO:0005737","cytoplasm","CC"
"A0A087X1C5","GO:0005739","mitochondrion","CC"
"A0A087X1C5","GO:0006805","xenobiotic metabolic process","BP"
"A0A087X1C5","GO:0016020","membrane","CC"
"A0A087X1C5","GO:0016712","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen","MF"
"A0A087X1C5","GO:0019369","arachidonic acid metabolic process","BP"
"A0A087X1C5","GO:0020037","heme binding","MF"
"A0A087X1C5","GO:0042178","xenobiotic catabolic process","BP"
"A0A087X1C5","GO:0043231","intracellular membrane-bounded organelle","CC"
"A0A087X1C5","GO:0070330","aromatase activity","MF"
"A0A0B4J2F0","GO:0005741","mitochondrial outer membrane","CC"
"A0A0B4J2F0","GO:0006986","response to unfolded protein","BP"
"A0A0B4J2F0","GO:1900101","regulation of endoplasmic reticulum unfolded protein response","BP"
"A0A0B4J2F2","GO:0000287","magnesium ion binding","MF"
"A0A0B4J2F2","GO:0004674","protein serine/threonine kinase activity","MF"
"A0A0B4J2F2","GO:0005524","ATP binding","MF"
"A0A0B4J2F2","GO:0005634","nucleus","CC"
"A0A0B4J2F2","GO:0005737","cytoplasm","CC"
"A0A0B4J2F2","GO:0016310","phosphorylation","BP"
"A0A0B4J2F2","GO:0035556","intracellular signal transduction","BP"
"A0A0B4J2F2","GO:0106310","protein serine kinase activity","MF"
"A0A0C5B5G6","GO:0001649","osteoblast differentiation","BP"
"A0A0C5B5G6","GO:0003677","DNA binding","MF"
"A0A0C5B5G6","GO:0005615","extracellular space","CC"
"A0A0C5B5G6","GO:0005634","nucleus","CC"
"A0A0C5B5G6","GO:0005739","mitochondrion","CC"
"A0A0C5B5G6","GO:0006357","regulation of transcription by RNA polymerase II","BP"
"A0A0C5B5G6","GO:0032147","activation of protein kinase activity","BP"
"A0A0C5B5G6","GO:0033687","osteoblast proliferation","BP"
