PATH	UNIPROT	PATHNAME
hsa04010	P05412	MAPK signaling pathway
hsa04010	Q12933	MAPK signaling pathway
hsa04010	P52798	MAPK signaling pathway
hsa04010	P10398	MAPK signaling pathway
hsa04010	P17535	MAPK signaling pathway
hsa04010	P28482	MAPK signaling pathway
hsa04010	P04049	MAPK signaling pathway
hsa04010	Q15303	MAPK signaling pathway
hsa04010	P01583	MAPK signaling pathway
hsa04010	P22736	MAPK signaling pathway
hsa04010	O95750	MAPK signaling pathway
hsa04010	Q13202	MAPK signaling pathway
hsa04010	Q9UBI6	MAPK signaling pathway
hsa04010	P01138	MAPK signaling pathway
hsa04010	Q9Y6K9	MAPK signaling pathway
hsa04010	P61244	MAPK signaling pathway
hsa04010	P19838	MAPK signaling pathway
hsa04010	O95267	MAPK signaling pathway
hsa04010	P62834	MAPK signaling pathway
hsa04010	Q9HCT0	MAPK signaling pathway
hsa04010	Q5T4W7	MAPK signaling pathway
hsa04010	Q9H2K8	MAPK signaling pathway
hsa04010	P21333	MAPK signaling pathway
hsa04010	O43497	MAPK signaling pathway
hsa04010	P32121	MAPK signaling pathway
hsa04010	Q86XP0	MAPK signaling pathway
hsa04010	Q13698	MAPK signaling pathway
hsa04010	Q15750	MAPK signaling pathway
hsa04010	O00305	MAPK signaling pathway
hsa04010	Q05923	MAPK signaling pathway
hsa04010	P10721	MAPK signaling pathway
hsa04010	P22612	MAPK signaling pathway
hsa04010	Q04206	MAPK signaling pathway
hsa04010	Q13936	MAPK signaling pathway
hsa04010	P21359	MAPK signaling pathway
hsa04010	Q07889	MAPK signaling pathway
hsa04010	O43320	MAPK signaling pathway
hsa04010	P05771	MAPK signaling pathway
hsa04010	Q9Y698	MAPK signaling pathway
hsa04010	P05230	MAPK signaling pathway
hsa04010	Q13177	MAPK signaling pathway
hsa04010	Q16644	MAPK signaling pathway
hsa04010	P62993	MAPK signaling pathway
hsa04010	P41279	MAPK signaling pathway
hsa04010	P31371	MAPK signaling pathway
hsa04010	P51617	MAPK signaling pathway
hsa04010	P48454	MAPK signaling pathway
hsa04010	Q9GZV9	MAPK signaling pathway
hsa04010	P11487	MAPK signaling pathway
hsa04010	P51812	MAPK signaling pathway
hsa04010	O15111	MAPK signaling pathway
hsa04010	Q8TDF6	MAPK signaling pathway
hsa04010	Q15389	MAPK signaling pathway
hsa04010	O14944	MAPK signaling pathway
hsa04010	P04085	MAPK signaling pathway
hsa04010	Q7L7X3	MAPK signaling pathway
hsa04010	Q9Y243	MAPK signaling pathway
hsa04010	P11831	MAPK signaling pathway
hsa04010	P15514	MAPK signaling pathway
hsa04010	P55075	MAPK signaling pathway
hsa04010	P17612	MAPK signaling pathway
hsa04010	P48023	MAPK signaling pathway
hsa04010	P34931	MAPK signaling pathway
hsa04010	P15056	MAPK signaling pathway
hsa04010	O75676	MAPK signaling pathway
hsa04010	Q9UP65	MAPK signaling pathway
hsa04010	Q9BY84	MAPK signaling pathway
hsa04010	O00555	MAPK signaling pathway
hsa04010	O75688	MAPK signaling pathway
hsa04010	P04637	MAPK signaling pathway
hsa04010	P35236	MAPK signaling pathway
hsa04010	P15153	MAPK signaling pathway
hsa04010	P10600	MAPK signaling pathway
hsa04010	P21583	MAPK signaling pathway
hsa04010	P05019	MAPK signaling pathway
hsa04010	P35968	MAPK signaling pathway
hsa04010	P01106	MAPK signaling pathway
hsa04010	P20827	MAPK signaling pathway
hsa04010	Q02750	MAPK signaling pathway
hsa04010	Q9UQF2	MAPK signaling pathway
hsa04010	P21860	MAPK signaling pathway
hsa04010	P54289	MAPK signaling pathway
hsa04010	P11142	MAPK signaling pathway
hsa04010	Q15256	MAPK signaling pathway
hsa04010	P01133	MAPK signaling pathway
hsa04010	Q8IZS8	MAPK signaling pathway
hsa04010	Q12851	MAPK signaling pathway
hsa04010	P53779	MAPK signaling pathway
hsa04010	Q9Y4K3	MAPK signaling pathway
hsa04010	Q13188	MAPK signaling pathway
hsa04010	O43318	MAPK signaling pathway
hsa04010	P07949	MAPK signaling pathway
hsa04010	P46734	MAPK signaling pathway
hsa04010	O14827	MAPK signaling pathway
hsa04010	O76093	MAPK signaling pathway
hsa04010	Q06413	MAPK signaling pathway
hsa04010	P28324	MAPK signaling pathway
hsa04010	P14210	MAPK signaling pathway
hsa04010	Q12852	MAPK signaling pathway
hsa04010	O95180	MAPK signaling pathway
hsa04010	Q9P0X4	MAPK signaling pathway
hsa04010	O43915	MAPK signaling pathway
hsa04010	P16298	MAPK signaling pathway
hsa04010	P36888	MAPK signaling pathway
hsa04010	P15336	MAPK signaling pathway
hsa04010	P63098	MAPK signaling pathway
hsa04010	P45983	MAPK signaling pathway
hsa04010	P35916	MAPK signaling pathway
hsa04010	P61224	MAPK signaling pathway
hsa04010	P27361	MAPK signaling pathway
hsa04010	P19438	MAPK signaling pathway
hsa04010	P0C869	MAPK signaling pathway
hsa04010	P04792	MAPK signaling pathway
hsa04010	P16949	MAPK signaling pathway
hsa04010	P20783	MAPK signaling pathway
hsa04010	Q9UF02	MAPK signaling pathway
hsa04010	Q16620	MAPK signaling pathway
hsa04010	Q9NSA1	MAPK signaling pathway
hsa04010	P05129	MAPK signaling pathway
hsa04010	P29317	MAPK signaling pathway
hsa04010	O15520	MAPK signaling pathway
hsa04010	P11362	MAPK signaling pathway
hsa04010	O14920	MAPK signaling pathway
hsa04010	P28562	MAPK signaling pathway
hsa04010	P21781	MAPK signaling pathway
hsa04010	P00533	MAPK signaling pathway
hsa04010	Q9UL54	MAPK signaling pathway
hsa04010	Q7LDG7	MAPK signaling pathway
hsa04010	Q08209	MAPK signaling pathway
hsa04010	Q99748	MAPK signaling pathway
hsa04010	Q3MJ16	MAPK signaling pathway
hsa04010	Q8IW41	MAPK signaling pathway
hsa04010	Q9Y4G8	MAPK signaling pathway
hsa04010	P14778	MAPK signaling pathway
hsa04010	Q9UK32	MAPK signaling pathway
hsa04010	Q9BQ95	MAPK signaling pathway
hsa04010	Q9Y6R4	MAPK signaling pathway
hsa04010	Q07890	MAPK signaling pathway
hsa04010	Q9NP95	MAPK signaling pathway
hsa04010	P60953	MAPK signaling pathway
hsa04010	Q02641	MAPK signaling pathway
hsa04010	P22607	MAPK signaling pathway
hsa04010	Q12968	MAPK signaling pathway
hsa04010	Q99759	MAPK signaling pathway
hsa04010	P09619	MAPK signaling pathway
hsa04010	P52564	MAPK signaling pathway
