Sample	Group
S0.1.293t	293t_0 h
S0.2.293t	293t_0 h
S0.3.293t	293t_0 h
S3.1.293t	293t_3 h
S3.2.293t	293t_3 h
S3.3.293t	293t_3 h
S6.1.293t	293t_6 h
S6.2.293t	293t_6 h
S6.3.293t	293t_6 h
S9.1.293t	293t_9 h
S9.2.293t	293t_9 h
S9.3.293t	293t_9 h
S12.1.293t	293t_12 h
S12.2.293t	293t_12 h
S12.3.293t	293t_12 h
S24.1.293t	293t_24 h
S24.2.293t	293t_24 h
S24.3.293t	293t_24 h
S0.1.lo2	lo2_0 h
S0.2.lo2	lo2_0 h
S0.3.lo2	lo2_0 h
S3.1.lo2	lo2_3 h
S3.2.lo2	lo2_3 h
S3.3.lo2	lo2_3 h
S6.1.lo2	lo2_6 h
S6.2.lo2	lo2_6 h
S6.3.lo2	lo2_6 h
S9.1.lo2	lo2_9 h
S9.2.lo2	lo2_9 h
S9.3.lo2	lo2_9 h
S12.1.lo2	lo2_12 h
S12.2.lo2	lo2_12 h
S12.3.lo2	lo2_12 h
S24.1.lo2	lo2_24 h
S24.2.lo2	lo2_24 h
S24.3.lo2	lo2_24 h
