Accession	Aggregate
A0A0U1RRE5	P-body
A1L020	P-body
A2A288	P-body
A4D1E9	Nucleolus
A5YKK6	P-body
A8CG34	Nuclear pore complex
C9JLW8	Stress granule
I0J062	Nucleolus
O00165	P-body
O00257	Nuclear speckle
O00422	Nuclear speckle
O00567	Nucleolus
O14746	Nucleolus
O15047	Nuclear speckle
O15055	Nucleolus
O15116	P-body
O15213	Nucleolus
O15213	Nucleolus
O15234	Nuclear speckle
O15234	Stress granule
O15381	Nucleolus
O15446	Nucleolus
O15527	Nuclear speckle
O15550	Nucleolus
O43390	Paraspeckle
O43390	Paraspeckle
O43447	Nuclear speckle
O43660	Nuclear speckle
O43781	Nuclear speckle
O43809	Paraspeckle
O43809	Paraspeckle
O43823	Nucleolus
O60318	Nuclear pore complex
O60479	Paraspeckle
O60479	Paraspeckle
O60828	Stress granule
O60832	Nucleolus
O60832	Cajal body,Nucleolus
O60934	PML nuclear body
O60936	Nucleolus
O75151	Nucleolus
O75177	Paraspeckle
O75177	Paraspeckle
O75319	Nuclear speckle
O75385	Stress granule
O75494	Nuclear speckle
O75494	Paraspeckle
O75494	Paraspeckle
O75554	Nuclear speckle
O75925	PML nuclear body
O75925	Nuclear speckle
O75928	PML nuclear body
O76021	Nucleolus
O94818	Nucleolus
O94906	Cajal body
O95232	Nuclear speckle
O95453	Nucleolus
O95453	Cajal body,Nucleolus
O95707	Nucleolus
P00441	Stress granule
P01106	Nucleolus
P02545	Nuclear speckle
P04637	PML nuclear body
P04637	PML nuclear body,Nucleolus
P06730	P-body
P06748	Nucleolus
P08621	Nuclear speckle
P09651	Paraspeckle
P09651	Paraspeckle
P0DI83	Nucleolus
P0DMV8	Stress granule
P10071	Paraspeckle
P11387	Nucleolus
P11387	Nucleolus
P11388	Nucleolus
P11940	Stress granule
P12270	Nuclear pore complex
P13056	PML nuclear body
P15927	PML nuclear body
P16383	Nucleolus
P17480	Nucleolus
P17480	Nucleolus
P17480	Nucleolus
P17600	Postsynaptic density
P17676	Nuclear speckle
P17844	Nucleolus
P18583	Nuclear speckle
P18583	Nuclear speckle
P18583	Nuclear speckle
P18583	Nuclear speckle
P19474	P-body
P19544	Nuclear speckle
P20592	Nuclear pore complex
P21359	Nucleolus
P22087	Nucleolus
P22087	Cajal body,Nucleolus
P23246	Paraspeckle
P23246	Paraspeckle
P23246	Paraspeckle
P23246	Paraspeckle
P23246	Nuclear speckle
P23396	Nucleolus
P23396	Nucleolus
P23497	PML nuclear body
P23497	PML nuclear body
P25490	Nuclear speckle
P25685	Nucleolus
P26196	P-body
P26196	Stress granule
P26651	P-body
P27694	PML nuclear body
