Accession	Description	Sum PEP Score	# Unique Peptides	temp37.0_concYOU	temp40.6_concYOU	temp43.7_concYOU	temp47.5_concYOU	temp51.2_concYOU	temp54.5_concYOU	temp57.9_concYOU	temp61.5_concYOU	temp64.0_concYOU	temp67.0_concYOU	temp67.0_concSEN	temp64.0_concSEN	temp61.5_concSEN	temp57.9_concSEN	temp54.5_concSEN	temp51.2_concSEN	temp47.5_concSEN	temp43.7_concSEN	temp40.6_concSEN	 temp37.0_concSEN
Q09666	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2	3803.185	380	138.2	138.3	143.4	133	110.9	95.8	65.1	64.7	58.6	51.9	54.4	46.2	41.7	64.2	100.3	115.3	136.1	148.8	141.7	151.4
P21333	Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4	1485.963	127	191	193.2	193.2	184.7	122.3	57.7	24.5	15.5	10.1	7.7	5.5	6.6	7.8	20.8	56.2	112.5	177.5	219.2	181.1	212.9
P35579	Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4	1478.218	147	202.7	209.3	194.6	185.3	118.7	46.1	17.7	11.1	7.8	6.5	6.5	6.5	7.2	15.8	43.8	119.3	175.7	212.1	196.1	216.8
Q14204	Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5	1197.111	161	219.4	245.2	220.6	165.6	74.8	33.2	16.8	11	7.6	5.8	5.7	6.4	7.5	14.8	33.2	61.2	176.5	219.4	223.9	251.5
O75369	Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2	1154.865	121	172.5	172.9	166.2	173.8	136.5	89.8	37.1	24.7	15.6	10.8	9.1	11.7	12.6	31.4	86.7	136	168.2	188.8	169.9	185.7
P31327	Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Homo sapiens OX=9606 GN=CPS1 PE=1 SV=2	1151.642	96	186.3	186.5	181.6	181.3	143.7	81.2	17.5	10.6	6.2	5	3.5	4.1	5.7	12.5	72.4	138.6	175.6	194.6	191.9	201.1
P46940	Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1	1118.047	114	231.2	234.1	200.4	189.4	77.2	31.6	14.8	9.3	6.6	5.3	4.5	5	6.4	13.5	29	61.5	185	224.5	222.6	248.1
P49327	Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3	1107.358	103	198.6	218.7	209.4	186	110.6	33.4	17.5	11.4	8.1	6.3	5.8	5.8	8.3	15	33.6	94	190.6	200.9	218.1	228
Q13813	Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3	1057.903	131	140.3	146.6	162.6	156.9	145.9	115.4	63.2	33.9	20.3	14.8	11.1	13.9	15.6	52.2	111.6	146.9	162.4	167.2	157.4	161.7
P10809	60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2	1037.885	63	148.6	153.5	148	140.1	130.6	119.6	81.5	50.7	20.5	6.9	4.5	13.5	26.3	68.8	130.6	135.2	137.4	157	159.3	167.3
