Checked	Protein FDR Confidence: Combined	Master	Accession	Description	Exp. q-value: Combined	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	Abundances (Scaled): F1: Sample	Abundances (Scaled): F2: Sample	Abundances (Scaled): F3: Sample	Abundances (Scaled): F4: Sample	Abundances (Scaled): F5: Sample	Abundances (Scaled): F6: Sample	Abundances (Scaled): F7: Sample	Abundances (Scaled): F8: Sample	Abundances (Scaled): F9: Sample	Abundances (Scaled): F10: Sample	Abundances (Scaled): F11: Sample	Abundances (Scaled): F12: Sample	Abundance: F1: Sample	Abundance: F2: Sample	Abundance: F3: Sample	Abundance: F4: Sample	Abundance: F5: Sample	Abundance: F6: Sample	Abundance: F7: Sample	Abundance: F8: Sample	Abundance: F9: Sample	Abundance: F10: Sample	Abundance: F11: Sample	Abundance: F12: Sample	Found in Sample: [S1] F1: Sample	Found in Sample: [S2] F2: Sample	Found in Sample: [S3] F3: Sample	Found in Sample: [S4] F4: Sample	Found in Sample: [S5] F5: Sample	Found in Sample: [S6] F6: Sample	Found in Sample: [S7] F7: Sample	Found in Sample: [S8] F8: Sample	Found in Sample: [S9] F9: Sample	Found in Sample: [S10] F10: Sample	Found in Sample: [S11] F11: Sample	Found in Sample: [S12] F12: Sample	# Protein Groups	Modifications
FALSE	High	Master Protein	P35579	Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4	0	3091.929	77	241	4579	207	1960	226.4	5.6	12479.23	241	114.7	59.5	64.7	127.9	109.7	57.1	43	168.6	90.8	97	173.8	93.1	6690827623	3473083290	3772316137	7461488144	6398676930	3331794266	2508312500	9833412680	5296318778	5656177592	10136251763	5430343722	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q15149	Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3	0	1248.037	51	230	1283	221	4684	531.5	5.96	2736.62	230	95.8	60.4	72.2	120	74.4	57.2	59.1	258.6	112.8	63.6	164.3	61.7	609056879.8	383831044.6	458619392.8	762303905.3	472970909	363214955.1	375390167.8	1643350979	716825221.9	403869142	1044197893	391777138.2	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q8WWM7	Ataxin-2-like protein OS=Homo sapiens OX=9606 GN=ATXN2L PE=1 SV=2	0	901.812	61	61	1284	59	1075	113.3	8.59	3631.26	61	92.6	107.6	127.5	89.5	113.3	98.4	73.5	107.6	71.1	105.3	120.9	92.9	2161030316	2510636624	2975532747	2090158696	2644326002	2295813613	1715655832	2510365079	1658759346	2457910874	2820798804	2168091250	High	High	High	High	High	High	High	High	High	High	High	High	1	Acetyl [N-Term]
FALSE	High	Master Protein	Q92499	ATP-dependent RNA helicase DDX1 OS=Homo sapiens OX=9606 GN=DDX1 PE=1 SV=2	0	897.482	77	67	1455	67	740	82.4	7.23	3899.07	67	129.4	125.8	147	92.3	108.9	76.1	91.1	124.1	80.6	77.7	87.4	59.6	2872464516	2794249705	3264608333	2049040300	2418018969	1689834834	2023092042	2756030737	1790153566	1724238279	1940076014	1324239284	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	O15027	Protein transport protein Sec16A OS=Homo sapiens OX=9606 GN=SEC16A PE=1 SV=4	0	810.464	51	77	834	77	2357	251.7	5.8	2418.15	77	91.8	101.7	117.9	48.5	66.8	45.5	123.6	166.9	117.5	109.2	112.5	98.2	470637168.7	521565586.9	604946927.8	248870056.8	342412976.7	233243017.3	634099953.6	855900110.9	602905974.2	559948065.8	576852749.6	503514071.6	High	High	High	High	High	High	High	High	High	High	High	High	1	Acetyl [N-Term]
FALSE	High	Master Protein	Q9UQ35	Serine/arginine repetitive matrix protein 2 OS=Homo sapiens OX=9606 GN=SRRM2 PE=1 SV=2	0	731.817	40	89	907	89	2752	299.4	12.06	2326.37	89	59.8	62.6	58.4	218.4	221.8	173	26	39.5	26.2	90.6	123.4	100.5	346374336.7	362409586.4	338062271.3	1264520510	1284150163	1001874331	150274263.6	228711579.4	151710426.4	524827335.5	714373030	581756167.7	High	High	High	High	High	High	High	High	High	High	High	High	1	Acetyl [N-Term]
FALSE	High	Master Protein	Q12965	Unconventional myosin-Ie OS=Homo sapiens OX=9606 GN=MYO1E PE=1 SV=2	0	705.244	56	71	961	71	1108	127	8.92	2402.3	71	109.6	58.7	65.9	150.7	93.4	61.9	51.7	223.4	92.8	68.8	161.7	61.4	1016581627	544571088.1	610904657.5	1397804927	866672608.3	574137921.2	479832019.1	2071927464	860852167.6	638592753.6	1500081814	569630919.8	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q7Z417	FMR1-interacting protein NUFIP2 OS=Homo sapiens OX=9606 GN=NUFIP2 PE=1 SV=1	0	692.4	63	45	969	45	695	76.1	8.7	2736.13	45	98.2	111.9	125.1	98.6	121	100.7	65.2	90.1	63.4	103.4	135.2	87.3	1868933754	2130046571	2381955158	1877233231	2302812741	1916646771	1241548311	1714896654	1207937263	1968627336	2574125975	1661660270	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P23246	Splicing factor, proline- and glutamine-rich OS=Homo sapiens OX=9606 GN=SFPQ PE=1 SV=2	0	667.212	64	58	1348	56	707	76.1	9.44	3459.02	58	101.4	112.4	128.6	160.8	151.7	125.1	60.9	79.5	49.2	81.9	90.1	58.3	2076336101	2301257751	2634952303	3293419293	3108203911	2562261982	1248063103	1628483430	1008751678	1678350406	1845082624	1193969121	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P06748	Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2	0	597.375	84	40	788	40	294	32.6	4.78	2199.69	40	4.4	6.6	10.7	177.9	222.4	156.2	6.5	7.7	4	166	264.5	173.1	163740868	243881288.9	392490581.6	6547552714	8183227121	5748694506	240842523.5	282929955.4	147469926.6	6107192751	9733220289	6369456057	High	High	High	High	High	High	High	High	High	High	High	High	1	Acetyl [N-Term]
