Accession	GeneName	Description	PG.Qvalue	S0.1	S0.2	S0.3	S3.1	S3.2	S3.3	S6.1	S6.2	S6.3	S9.1	S9.2	S9.3	S12.1	S12.2	S12.3	S24.1	S24.2	S24.3
A0A024RBG1	NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	6.17E-05	245025.7188	447127.75	429072.0938	391165.75	391875.7813	360361.2188	298542.5625	290674.1875	286557.8125	296405.1875	262512.6563	276505.1563	302607.5938	317708.8125	248222.0938	NaN	178209.0313	NaN
A0A096LP01	SMIM26	Small integral membrane protein 26	1.00E-11	97356.40625	86965.6875	90583.04688	74749.34375	94889.29688	114457.4375	110671.7734	84267.47656	151574.1719	95533.61719	121729.2109	101332.9297	117474.3516	92377.57813	124521.6719	121204.4688	NaN	NaN
A0A0B4J2D5;P0DPI2	GATD3B;GATD3	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial;Glutamine amidotransferase-like class 1 domain-containing protein 3, mitochondrial	8.99E-27	400812.9063	484988.625	494072.9063	425385.125	434583.9063	398383.75	446194.875	465990.5313	445069.3438	468670.0313	472257.875	420488.3125	439737.9688	416717.0313	402355.1563	503316.2188	527738.4375	538064.25
A0A0B4J2F0	PIGBOS1	Protein PIGBOS1	8.09E-20	47868.56641	61553.90234	69805.11719	52942.80469	41786.54297	36499.36328	28085.58203	31978.76172	33296.76172	35788.41406	28744.92969	36459.125	27009.73047	34207.61328	25846.06445	16586.21094	21567.92969	24500.40039
A0A0U1RRE5	NBDY	Negative regulator of P-body association	2.25E-16	300959.1563	263929.3125	198846.7031	262752.0938	262474.125	247248.8281	246562.6094	212924.4219	255908.7813	323147.0313	195651.2656	254777.9688	173331.8906	182749.2344	134252.9844	111333.9453	118589.4531	129279.1719
A0A0U1RRL7	MMP24OS	Protein MMP24OS	2.81E-17	2020.719727	1520.86438	5144.566406	8592.548828	4229.334473	6230.549805	6222.924805	20177.45117	10733.31152	9158.496094	9390.475586	4970.791016	5089.588867	6599.924805	6389.115234	5462.933594	3616.265137	5234.554199
A0A1B0GVZ6;A6NDZ8;A6NE82;A6NJ08;Q8NHZ7	MBD3L2B;MBD3L4;MBD3L3;MBD3L5;MBD3L2	Methyl-CpG-binding domain protein 3-like 2B;Putative methyl-CpG-binding domain protein 3-like 4;Putative methyl-CpG-binding domain protein 3-like 3;Putative methyl-CpG-binding domain protein 3-like 5;Methyl-CpG-binding domain protein 3-like 2	0.004630262	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19169.30664	NaN	NaN	NaN	NaN
A0A1W2PQ72	MSANTD7	Myb/SANT-like DNA-binding domain-containing protein 7	9.45E-16	89074.90625	77477.59375	69216.99219	47265.46094	57405.28906	47533.00781	51890.41797	30661.73633	44129.79688	46606.82031	41621.61328	42345.53125	29447.92773	49341.05078	51916.30078	47991.12109	26872.13672	35658.65234
A0A2Z4LIS9	FOXO3B	Forkhead box protein O3B	2.88E-25	114247.4375	92281.57031	62436.25	70182.05469	74133.57813	90756.78906	66891.34375	41078.22656	92903.92188	45691.06641	60279.70313	74317.67188	63509.62109	72189.32031	73961.22656	38646.29688	70731.1875	72089.375
A0A3B3IRV3	MCTS2	Malignant T-cell-amplified sequence 2	7.00E-17	78891.70313	39605.42969	34060.03906	51534.30469	31154.54297	66832.91406	31581.54492	19400.06836	40905.4375	27909.96484	19423.98438	24818.70898	42832.71094	43374.83594	35797.90625	41774.05469	38460.91016	16064.34961
A0AUZ9	KANSL1L	KAT8 regulatory NSL complex subunit 1-like protein	1.76E-17	13131.4668	28712.63086	14907.50684	14287.6416	8892.363281	27504.99414	11065.67773	10156.7627	13626.3252	8300.019531	5865.211914	8014.533203	9916.772461	9736.407227	13245.63574	18963.49219	9522.701172	14231.84473
A0AV96	RBM47	RNA-binding protein 47	7.50E-19	9677.101563	7301.92041	19950.12891	10718.75195	14843.85352	8134.557129	8723.056641	11081.2002	8862.155273	8081.126465	8173.465332	8076.296387	13345.29785	7165.84375	8058.124512	8787.516602	2271.339355	7033.224609
A0AVF1	TTC26	Intraflagellar transport protein 56	3.35E-27	768006	965751.875	890240.6875	787463.25	553255.1875	634434.75	590983.0625	1203665.875	379011.0625	638530	541361.6875	629653.9375	536684.4375	629973.6875	535262.125	497091	484144.3125	613083.8125
A0AVK6	E2F8	Transcription factor E2F8	6.44E-29	90386.39844	54559.12109	49247.16016	50868.64844	36341.24219	59680.11328	45218.89844	45590.09766	39696.49609	46635.21484	47043.35156	39309.5	39778.82031	44239.18359	44631.10938	34639.76563	32467.72461	40856.70703
A0AVT1	UBA6	Ubiquitin-like modifier-activating enzyme 6	2.95E-33	480622.1875	438514.125	419281.3438	426348.4375	449668.25	474415.6875	418497.0938	366429.125	398860.9688	407922.6563	403065.0313	433279.6563	471208.25	496521.5313	487137.1563	480194.4063	455695.3438	491665.3125
A0FGR8	ESYT2	Extended synaptotagmin-2	4.69E-38	205299.2031	198542.5781	209034.25	222056.6094	214223	208480.6875	195224.625	186272.9531	190894.5	208916.4063	216642.625	229289.4844	232020.875	214454.6563	219114.9219	200633.5938	202048.0469	202045.5781
A0JLT2	MED19	Mediator of RNA polymerase II transcription subunit 19	1.73E-21	136111.7344	163356.7188	104217.4063	151440.25	119075.8672	121493.3203	126431.2969	106813.0234	146557.1094	112735.4141	120857.9609	116994.0469	108745.6563	122050.6328	131366.5625	118747.7891	114896.2344	106878.25
A0JNW5	UHRF1BP1L	UHRF1-binding protein 1-like	1.81E-20	1101920.875	986712.9375	820758.6875	843678.25	930457	1069577.5	1496872.75	1025369.75	1045858.063	801748.5625	696930.6875	1121218	744496.6875	974139.625	1035226.063	929845.9375	704714.4375	1046935.688
A0MZ66	SHTN1	Shootin-1	6.27E-34	163731.3438	165647.4063	147831.1875	160474.3125	143755.3125	157220.8281	183843.875	174457.3906	167292.2813	146573.7344	177070.7656	158685.4063	163210.1875	162821.5625	150630.0469	149580.6094	149692.4688	155211.2344
A0PJW6	TMEM223	Transmembrane protein 223	2.89E-20	62489.07813	62516.83594	77995.08594	51999.42188	71877.15625	70432.44531	49836.82422	65658.01563	52787.21484	39464.26953	70337.35938	86433.26563	94707.99219	79216.72656	82397.33594	74136.79688	90109.83594	76070.24219
A0ZSE6	TMEM30CP	Cell cycle control protein 50C	0.000664649	130315.0859	NaN	NaN	NaN	NaN	NaN	151314.25	NaN	NaN	NaN	114118.2344	NaN	NaN	NaN	NaN	NaN	NaN	63645.86328
A1A4S6	ARHGAP10	Rho GTPase-activating protein 10	2.40E-20	107134.1484	105072.3594	135263.2188	126380.5781	100461.5703	118379.1016	101496.5156	80800.86719	100987.9063	102181.3672	102123.7109	78257.78906	88356.09375	99229.08594	102718.1328	79599.07813	75216.35156	93705.83594
A1KXE4	FAM168B	Myelin-associated neurite-outgrowth inhibitor	8.82E-08	26871.42773	64630.16016	87553.25	38957.66016	65343.14063	89966.28125	97419.8125	82561.91406	84703.78906	63544.36328	76643.66406	33110.34375	38757.57422	44898.07031	63038.85547	70948.63281	64724.12109	45590.77734
A1L020	MEX3A	RNA-binding protein MEX3A	1.55E-35	27630.16992	25884.87695	31112.84961	33390.08594	24124.08203	21269.16016	24701.64258	22878.32227	18546.60938	18014.76563	26665.37305	20063.56445	18776.43945	19339.92383	17280.38477	19440.18555	29073.90625	26362.46875
A1L0T0	ILVBL	2-hydroxyacyl-CoA lyase 2	1.22E-28	510416.9688	464677.9063	446305.5313	424240.5313	447563.625	471401.8438	431497.25	371240.9688	436654.5313	459088.5938	424524.6563	435501.75	484541.1563	538027.625	510867.4375	477180.2813	459760.8125	489464.4688
A1L188	NDUFAF8	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8	3.87E-23	NaN	2987.994141	27.36210442	NaN	6145.977539	914.2650757	26131.75977	22193.68359	11110.33301	24641.03516	24297.3457	19882.20313	20562.31836	24117.36914	16052.1543	8922.478516	14776.79492	20261.84375
A1L190	SYCE3	Synaptonemal complex central element protein 3	0.003819432	NaN	NaN	NaN	1102092.375	NaN	NaN	943353.875	NaN	NaN	NaN	NaN	NaN	765842.5	NaN	NaN	NaN	NaN	585667.25
A1L390	PLEKHG3	Pleckstrin homology domain-containing family G member 3	1.32E-17	127938.9297	120223.3203	111922.2578	149495.5781	131648.2969	136597.9219	117277.9219	109703.6953	109624.8984	116480.3359	104661.875	131259.5625	123157.8125	81092.65625	116261.6641	99617.55469	130338.0547	139661.8125
A1L3X0	ELOVL7	Elongation of very long chain fatty acids protein 7	1.43E-08	12601.19629	NaN	5837.726074	8183.334473	11056.29102	5922.754883	16710.49414	7558.774414	NaN	10928.78809	16632.73047	NaN	3763.164063	14456.49219	4842.746094	7796.56543	4022.775879	7100.930664
A1X283	SH3PXD2B	SH3 and PX domain-containing protein 2B	4.14E-38	263010.25	293546.875	288923.625	311015.7188	290987.0938	286928.9375	303458.0625	283152.875	284115.4063	303278.375	252138.4063	270763.875	284706.8125	279250.75	267762.1875	222114.9219	233810.1094	246932.0625
A1XBS5	CIBAR1	CBY1-interacting BAR domain-containing protein 1	5.06E-16	86341.70313	77677.32813	80230.625	67548.59375	83134.47656	74013.45313	72030.59375	80483.40625	69456.15625	71981.07813	68553.28906	83476.44531	68965.63281	72686.16406	47543.25	48797.52344	56930.69531	44434.53125
A2RRD8	ZNF320	Zinc finger protein 320	6.81E-22	39372.03125	5360.543457	25949.67969	30537.22266	13490.76563	29403.30859	17931.82422	25238.39648	25056.52344	16344.34766	27227.77344	21713.31055	22905.25195	18371.71094	19493.6582	23012.81445	15806.40137	22703.55859
A2RRP1	NBAS	NBAS subunit of NRZ tethering complex	5.35E-31	67619.86719	75397.6875	67021.42188	72641.39844	61936.44531	65146.01953	66308.92188	59208.00391	59084.22656	55944.9375	55605.70313	57093.53516	62649.28516	61007.32031	55441.36719	55528.77344	48742.08594	44138.67969
A2RTX5	TARS3	Threonine--tRNA ligase 2, cytoplasmic	1.82E-39	1349216.75	1510142	1625115.375	1447715.875	1394848.625	1377903.875	1420866.875	1246554.25	1362254	1247645.875	1514485.625	1558880.625	1526675.375	1386564.5	1617141.125	1431886	1491079	1489930.125
