Accession	Description	Sum.PEP.Score	X..Unique.Peptides	Y1L_1	Y1H_1	Y1L_2	Y1H_2	Y1L_3	Y1H_3	Y3L_1	Y3H_1	Y3L_2	Y3H_2	Y3L_3	Y3H_3	Y6L_1	Y6H_1	Y6L_2	Y6H_2	Y6L_3	Y6H_3	Y9L_1	Y9H_1	Y9L_2	Y9H_2	Y9L_3	Y9H_3	Y24L_1	Y24H_1	Y24L_2	Y24H_2	Y24L_3	Y24H_3	S1L_1	S1H_1	S1L_2	S1H_2	S1L_3	S1H_3	S3L_1	S3H_1	S3L_2	S3H_2	S3L_3	S3H_3	S6L_1	S6H_1	S6L_2	S6H_2	S6L_3	S6H_3	S9L_1	S9H_1	S9L_2	S9H_2	S9L_3	S9H_3	S24L_1	S24H_1	S24L_2	S24H_2	S24L_3	S24H_3
A0A024RBG1	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B OS=Homo sapiens OX=9606 GN=NUDT4B PE=3 SV=1	39.62	1	495211.6875	NA	NA	NA	497731.5313	NA	538972.0625	NA	434143.0625	NA	NA	NA	NA	NA	406013.125	NA	429619.0625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A096LP49	Coiled-coil domain-containing protein 187 OS=Homo sapiens OX=9606 GN=CCDC187 PE=2 SV=1	1.872	1	1845366.25	NA	1252992.875	NA	1342690.25	NA	1272068.25	NA	1070683.25	NA	877255.75	NA	1164378.5	NA	958566.5	NA	1216049.625	NA	NA	NA	905578.0625	NA	867186.1875	NA	390740.4688	NA	NA	NA	308233.2188	NA	7992101.625	358250.4375	8349779.75	466042.5313	7043395.563	445359.3125	5749814.875	1398017.188	5897300.438	1362983.25	5672557.375	1281235.25	4744575.563	1546605.922	5083252.125	2212359.172	3666699.75	2218902.359	4004721.125	2357445.281	4090571.469	2066172.219	3947917.938	1935771.328	1670535.906	3264484.75	1790436.641	3696941.156	1845768	2955313.156
A0A0B4J2A2	Peptidyl-prolyl cis-trans isomerase A-like 4C OS=Homo sapiens OX=9606 GN=PPIAL4C PE=2 SV=1	22.376	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4119481.5	NA	NA	NA	2725233	NA	12433613.5	NA	9993851.5	NA	3804785.25	8790030	NA	10599479	NA	8113510.5	NA	NA	NA	6726196	NA	10470902	NA	7081918	NA	6061973	NA	6667133	NA	8912001	1293850.875	NA	2255930.5	NA	1896361.875	5041437	6677482.75	NA	7230241.5	6648348.5	10905009.5
A0A0B4J2D5	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial OS=Homo sapiens OX=9606 GN=GATD3B PE=5 SV=1	128.439	10	41126441.38	1874295.313	43540188	1049079.125	42239569.88	1320479.125	37407607.13	3275221.969	30781434.69	2991756.266	38717963.19	1430867.75	39463180.13	7112644.594	38803674.63	5173882.016	28489493.5	5266371.547	38396785.56	9180719.063	34058274.25	6620039.625	39276667.38	12309508.5	32203372.56	23282723.19	37377731.88	21087524.75	39431420	24959219	59939315.5	1404677.625	69226246.38	3061791.188	64828357.38	2687434.5	65586405	5294238.406	66962205.94	6859613.609	57983260.63	5777912.188	62646892.88	5318884.188	60965073.31	18042446.19	61552615.69	5483501.844	55176574.38	9511180.125	52523138	7018360.344	50547492.31	10959417.31	41117729.75	21608148.25	38028266.63	20049717.06	40824162.63	21600435.5
A0A0B4J2F0	Protein PIGBOS1 OS=Homo sapiens OX=9606 GN=PIGBOS1 PE=1 SV=1	1.791	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0U1RRE5	Negative regulator of P-body association OS=Homo sapiens OX=9606 GN=NBDY PE=1 SV=1	4.231	1	2044124	NA	2517214	NA	4072091.25	NA	3274803	NA	1884451	NA	2856541	NA	NA	NA	1935314.25	NA	1970913.125	NA	NA	NA	1222160.625	NA	1608676.375	NA	NA	NA	NA	NA	NA	NA	1764020.25	NA	2691922.5	NA	2145568.25	NA	3254456.75	NA	2309475.75	NA	2848684.25	NA	1737884.375	NA	2184218.25	NA	1902158.625	NA	1446310.25	NA	1967729.625	NA	1711682.75	NA	NA	NA	NA	NA	NA	NA
A0A0U1RRL7	Protein MMP24OS OS=Homo sapiens OX=9606 GN=MMP24OS PE=1 SV=1	6.933	1	1397561.125	NA	1198781.125	NA	843721.625	NA	768263.8125	NA	1068527	NA	1020075.5	NA	641426.3125	NA	1043305.625	NA	NA	NA	1023470.563	NA	412503.375	NA	597608.0625	NA	NA	NA	NA	NA	NA	NA	790629.5625	NA	1646385.375	NA	777692.75	NA	1206996.5	NA	897507.25	NA	567732.8125	NA	665755.8125	NA	916040.9375	NA	737547.8125	NA	603001.75	NA	679864.8125	NA	826587.75	NA	NA	NA	NA	NA	NA	NA
A0A2R8Y4L2	Heterogeneous nuclear ribonucleoprotein A1-like 3 OS=Homo sapiens OX=9606 GN=HNRNPA1L3 PE=4 SV=1	854.271	1	34022486.5	NA	41949914	781345.625	37432717	NA	32954529.5	1674991	30887440.5	2241906.563	22375296.25	2299208.625	24903079.5	5335471.5	29783789.25	2697700.75	30632025	5762469.75	26220384.5	5462147.375	22423688.5	9311714.375	23688568	9080011.5	10787991.5	26980365	8843747.5	17983075.5	12586564	26370804.5	35310505	888221.875	39048884	NA	24486158.5	1617726.75	35839299.5	1032272.375	34708059.5	NA	32923525	NA	29274345.5	3840739.5	28081418.25	1902336.25	27105707.75	4246735.5	21252709.75	3048411.281	19744664	2967954.75	26150842.25	4695440.75	8472805	7206057.25	12560588.5	8645822.75	9370503.75	5994417.25
A0AV96	RNA-binding protein 47 OS=Homo sapiens OX=9606 GN=RBM47 PE=1 SV=2	41.38	9	5143066.25	191961.8594	4332216.75	611665.9844	5426310	NA	3428071.344	NA	4453120.563	636283.75	4987530.531	NA	4934156.125	810383.9688	3608310.156	NA	3185683.906	NA	3392966.469	467986.1875	2598324.063	733858.3438	3187004.594	324657.9375	2927485	419597.9063	2574269.5	2948627.875	2250106	1259126.063	9323688.313	NA	10690598.56	212153.8906	11143668.63	NA	11177281.63	504910.2656	10705966.81	264393.0625	8417334.969	NA	7816840.875	1387270.594	7313954.813	1269792.813	5455025.438	2383742.656	5127944.656	2547661.75	3669632.813	2363570.438	5238769.5	2278871.656	1987381.219	3586666.625	856433.9063	4076904.313	2091263.219	3044761.406
A0AVT1	Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1	178.132	29	60095264.53	14299978.23	63625022.53	8648793.094	76789210.75	11467539.97	53898051.91	11816380.69	51930051.53	8151323.594	48931508.53	9592139.031	51313964.63	23404812.38	48865923.31	10752236.02	39837782.13	15243924.2	50895208.38	18209701.19	40818812.72	19464188.34	52603687.72	16956326.75	25397129.81	47976807.34	29100689.38	46063317.09	34767416.59	52648601.13	38870922.34	13365078	48434275.75	11263657.25	43318078	8717452.063	45187280.41	9423505.5	36178261.94	8321411.938	37260628.47	8531062.813	36203489.94	11514550.34	42623947	9015446.203	29299459.19	12504623.69	33389317.69	14723226.34	34872857.03	11992641.34	35101956.06	10606895.75	17148708.06	18395919.88	18825923.34	15407073.63	20616224.34	20399003.23
