Accession	Description	Sum PEP Score	# Unique Peptides	S1L_1	S1H_1	S1L_2	S1H_2	S1L_3	S1H_3	S3L_1	S3H_1	S3L_2	S3H_2	S3L_3	S3H_3	S6L_1	S6H_1	S6L_2	S6H_2	S6L_3	S6H_3	S9L_1	S9H_1	S9L_2	S9H_2	S9L_3	S9H_3	S24L_1	S24H_1	S24L_2	S24H_2	S24L_3	S24H_3
Q09666	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2	4909.73	387	4048486838	157199704.7	4728567897	161882675.7	4135739375	144686535.6	3990550144	240284150.7	3642946759	233774240.6	3303525035	209653933.9	3113104154	388342680.1	3170807500	413582324.9	2845635048	386866980.2	2871433652	572374539.4	3006301259	575418598.2	3102750231	623083620.9	1904768063	859858311.7	1753369500	749572384.9	1971144206	955335985.2
Q15149	Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3	4536.071	400	2438257137	56429745.55	3163823614	67149803.27	2557788612	67316161.03	2931267532	194954265.6	2653687038	176123598.3	2560868706	150675275.2	2395860847	378124673.8	2446190670	378162725.3	2237898655	386649394.9	2149043742	570460719.5	2098306681	573840945.8	2221784921	596309282.1	1270143531	990052893.3	1275539902	969621199	1356803331	1022601863
P35579	Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4	3103.487	170	1044892618	53572112.04	1251259914	40233043.66	1058147347	74552984.73	1308218793	94338002.73	1237490532	71918264.31	1200362337	85201187.88	1120809393	171521980.4	1150970323	182718906	1079058531	188047579.6	970897760.9	251375813	912906475.7	263474587.6	1012718804	252170419	549933028.1	517497140.7	552829734	536426461.9	628020893.8	628427921.2
Q14204	Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5	2399.945	248	811282950	51480545.38	1047047893	51060930	866237713.6	49194753.61	1107502978	71969161.8	953477009	59080860.5	941329951.8	52404946.25	827284168.3	100187126.9	863142320	103091528.8	815037173.9	95525278.55	837441532.8	181088581	872526552.7	182386228.1	1007734393	195363394.8	483012171.7	398931785.9	508856996.2	387821366	576164476.5	476037338.3
Q13813	Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3	2296.796	198	725754560.8	32814847.59	873700125	52516757.06	741360910.3	64003928	723543211.2	63010893.36	660965463.8	63805514.26	614297663.4	71077614.09	567085778.3	122135938.6	572667321.1	110776288	570075694.6	110449785.2	532230156.1	156568595.3	526406845.6	150775506.9	556167704.3	167816359.2	305838973.6	359819801.5	306964825	347469306.8	377430549.5	430904914.6
P21333	Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4	2266.762	158	1696274275	45086302.81	2264485171	45958484.66	2019370159	37800020.23	2292363412	90938367.66	2055265364	77123798.02	1831879317	77142520.66	1775906336	169246048.4	1876713619	174616176.3	1682266612	166901028.1	1717140786	273850108	1766440390	281424403.7	1847677736	281327597.8	1003786364	525002224	1044947817	547282344.7	1154849630	628754119.1
O75369	Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2	2026.303	144	779042560.9	43020633.73	990871720.6	39086775.28	848155666.9	45529425.72	978109618.4	88905412.34	871238164.7	60963876.13	837705273.8	56783254.73	772147148.9	127738870.2	788334793.1	125537511.8	740521075.9	137737753.1	701147560.9	195626652	700301151.5	213659027.2	752196320.6	217184839.8	431942931.7	392493299.3	436630429.8	412565104.2	476326703.2	432964131.6
P07900	Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5	1926.187	41	3353402201	58118512.81	4024790487	60669551.79	3592812355	76168063.38	4193859470	190300019.4	3972394643	185654848.9	3777348437	170854397.8	3347040945	345931331	3455427584	398935644	3150357117	380555323.1	2993916352	609762561	2883158336	499435966.2	3351984588	579927939.7	1772880474	1150361104	1783073175	1089138143	1922318870	1298691152
P08238	Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4	1763.392	28	3586171075	59581532.75	4236275398	70836719.13	3750356551	68658250.53	4134554026	156731107.1	3951856133	163362971.7	3822993645	156125964	3370307701	303629529.5	3449346189	303566418.6	3219064975	300083003.4	3005931410	413161240.7	2912092411	390421763.9	3167455553	452421986.5	1718292995	729402456.6	1727398778	710467564.1	1922368131	780316710
P78527	DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3	1762.507	205	982207817.9	41615751.36	1108838767	63431844.83	906898483.4	56226644.84	1067353987	73346479.63	952404020.3	48353102.97	927775533.6	81317083.66	897177766.1	107853909.5	872834230.8	91655296.72	846317025.7	132592698.3	899969464.1	165825110	845621371.3	156604871.1	950181414.2	165491118	592977186.2	320444346.3	626461018.6	337671884.7	657821386.9	370108097
