Accession	Description	Sum PEP Score	# Unique Peptides	Y1L_1	Y1H_1	Y1L_2	Y1H_2	Y1L_3	Y1H_3	Y3L_1	Y3H_1	Y3L_2	Y3H_2	Y3L_3	Y3H_3	Y6L_1	Y6H_1	Y6L_2	Y6H_2	Y6L_3	Y6H_3	Y9L_1	Y9H_1	Y9L_2	Y9H_2	Y9L_3	Y9H_3	Y24L_1	Y24H_1	Y24L_2	Y24H_2	Y24L_3	Y24H_3
Q09666	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2	5495.381	378	2495934718	144313467.6	2761195981	152214936.9	3052777738	191983111.9	2600597628	206216748.8	2638827858	265415352.1	2611681085	227827992.4	2833220076	475579308.4	2362034835	398535833.1	2307274230	438939644.5	2102582010	641600279.4	1577287628	503829425.7	2154838713	639215917.4	1244384371	1221634941	1307009042	1301776546	1408168458	1368696265
Q15149	Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3	5160.205	398	2538316572	172379484.8	2554897818	159183051.6	3071560898	182147957.6	2556859281	269592243.4	2523014814	283224980.8	2367066418	259198242.2	2761251098	649967751.4	2313787433	549502813.1	2393529703	590943438.6	2132736101	883515190.5	1864718346	753443063.1	2246624915	863293588.8	1309249900	1556155497	1413961583	1777054557	1530096784	1837080216
P35579	Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4	3455.272	172	1107357069	61589143.92	1235079231	65201592.63	1384519201	83451618.77	1090339087	119104613.2	1079276252	107193800.2	1015009746	112320497.9	1189656769	243067722	1019075001	202793126.8	1052224662	217809947.2	917430594.8	315106373.5	817692772.6	262996130.7	959956096.2	312873686.5	615111728.8	724573460.8	626276660.5	789296052.1	682381055.3	886646084.9
Q14204	Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5	2887.192	249	809406924.2	50504994.55	872816661.2	67082777.78	1096932894	62666359.86	1014919937	106646234.2	1022566199	108947479.1	938666168.3	111750898.3	1089119393	239774001.4	921657205.9	233531894.3	946644678.7	235873995.6	899915461.5	346302383	765068147.3	294699481.4	933237140.1	340976109	574535547.4	850093420.6	620494195	937337115.2	615227522.2	895978911.5
P21333	Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4	2832.872	163	1895118906	73478245.73	2114544239	67282726.7	2594566713	70716889.44	2130854213	158384136.7	2205359831	153920173.2	1992319437	167831482	2221783582	385138793.7	1944305211	327433929.1	1987508604	368478082.9	1965736024	575719716.3	1612993959	499609888.4	1976514645	585324563	1251030893	1398454999	1308771896	1493046105	1402941438	1587270793
Q13813	Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3	2516.51	195	654883042.1	85319758.67	725435080.2	73287431.57	811690112.4	87027921.09	567240434.4	92637573.59	598918996	100604793.9	622333383.1	90267855.44	605273503.5	170126922.9	559059536.9	151082840.1	552044775.4	152422721.5	522463291.2	216701083.2	496083217.3	178034459.8	551550099.2	221960800.6	289923540.8	506073984.6	335991776.4	525057249	330840182.8	577251612.9
P49327	Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3	2326.733	136	1740841017	56240576.05	1936274697	50677720.41	2257382922	52247646.73	1839475867	117783034.7	1729368558	117938078.4	1675913221	106709127.9	2072106174	317877039.9	1639208962	255317125.4	1672045241	250268839.1	1653516991	465767124	1408905623	356447272.9	1708265048	473478068.4	1035168956	1262273492	1044227602	1359267310	1168237207	1465959354
P78527	DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3	2225.675	209	884041122	47856809.35	882423216.1	33764939.26	1054423433	55309988.16	855642354.3	121899381.1	890860885.8	70961346.95	794903626.6	80692502.91	965186034.5	173852229.4	789262575.5	150853321.7	804322588.3	142836564.9	773145243.7	244034576.1	753541711.1	208668158.9	856685464	250360350.8	581898446.5	645266554.9	599084593.5	714437150.4	634162360.6	744496108.9
P07900	Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5	2200.058	45	4437634030	109195693.8	4754630296	158611399.4	5284877185	134154828.4	4829752799	377900284.5	4459611897	355719373.1	4518984505	363014923.7	5179604631	897208585	4532902873	779976125.4	4060073281	719647706.2	4054898410	1160853502	3305509927	922593054.4	4148675511	1164093036	2592625554	2771920738	2736857673	2920376051	2978400829	3155272480
P08238	Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4	2131.504	26	3640042228	112689029.4	3884811405	120330680.5	4338245375	126123781.4	3840663569	329154858.7	3602578291	299981105.8	3463191394	294211358.3	4142435163	751945929.5	3673483063	649381826.1	3366920322	620617809.6	3189403669	932846642.7	2845189837	850762358.6	3295989872	988683774.7	2109079629	2205391472	2130080798	2210059448	2325399349	2437083869
